"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"u:\telegram-miniapp-game\src\components\popups\MailPopupContent.jsx", "JavaScript JSX", 0, 124, 0, 0, 9, 16, 149
"u:\telegram-miniapp-game\src\components\popups\MailPopupContent.scss", "SCSS", 0, 0, 113, 0, 4, 19, 136
"u:\telegram-miniapp-game\src\components\popups\Popup.jsx", "JavaScript JSX", 0, 59, 0, 0, 7, 10, 76
"u:\telegram-miniapp-game\src\components\popups\Popup.scss", "SCSS", 0, 0, 85, 0, 8, 13, 106
"u:\telegram-miniapp-game\src\components\popups\PowerChangePopup.jsx", "JavaScript JSX", 0, 60, 0, 0, 4, 7, 71
"u:\telegram-miniapp-game\src\components\popups\PowerChangePopup.scss", "SCSS", 0, 0, 40, 0, 7, 1, 48
"u:\telegram-miniapp-game\src\components\popups\ShardboundRunesGamePopup.jsx", "JavaScript JSX", 0, 79, 0, 0, 6, 12, 97
"u:\telegram-miniapp-game\src\components\popups\ShardboundRunesResultsPopup.jsx", "JavaScript JSX", 0, 37, 0, 0, 4, 8, 49
"u:\telegram-miniapp-game\src\components\popups\SwapItemPopup.jsx", "JavaScript JSX", 0, 207, 0, 0, 12, 21, 240
"u:\telegram-miniapp-game\src\components\popups\SwapItemPopup.scss", "SCSS", 0, 0, 351, 0, 34, 49, 434
"u:\telegram-miniapp-game\src\components\popups\TasksPopup.jsx", "JavaScript JSX", 0, 260, 0, 0, 18, 42, 320
"u:\telegram-miniapp-game\src\components\popups\TasksPopup.scss", "SCSS", 0, 0, 441, 0, 27, 65, 533
"u:\telegram-miniapp-game\src\components\popups\TonExchangePopup.jsx", "JavaScript JSX", 0, 284, 0, 0, 17, 28, 329
"u:\telegram-miniapp-game\src\components\popups\TonExchangePopup.scss", "SCSS", 0, 0, 381, 0, 29, 42, 452
"u:\telegram-miniapp-game\src\components\popups\TreasureChestInfoPopup.jsx", "JavaScript JSX", 0, 70, 0, 0, 9, 11, 90
"u:\telegram-miniapp-game\src\components\popups\TreasureChestInfoPopup.scss", "SCSS", 0, 0, 450, 0, 43, 61, 554
"u:\telegram-miniapp-game\src\components\popups\UsernamePopup.jsx", "JavaScript JSX", 0, 36, 0, 0, 1, 7, 44
"u:\telegram-miniapp-game\src\components\popups\UsernamePopup.scss", "SCSS", 0, 0, 41, 0, 0, 6, 47
"u:\telegram-miniapp-game\src\components\popups\_mail-theme.scss", "SCSS", 0, 0, 31, 0, 5, 6, 42
"u:\telegram-miniapp-game\src\components\popups\_treasure-chest-theme.scss", "SCSS", 0, 0, 13, 0, 4, 5, 22
"u:\telegram-miniapp-game\src\components\screens\ArtifactsPanel.jsx", "JavaScript JSX", 0, 211, 0, 0, 21, 30, 262
"u:\telegram-miniapp-game\src\components\screens\ArtifactsPanel.scss", "SCSS", 0, 0, 320, 0, 37, 46, 403
"u:\telegram-miniapp-game\src\components\screens\ChestCard.scss", "SCSS", 0, 0, 139, 0, 18, 21, 178
"u:\telegram-miniapp-game\src\components\screens\CryptoPurchaseScreen.jsx", "JavaScript JSX", 0, 99, 0, 0, 1, 11, 111
"u:\telegram-miniapp-game\src\components\screens\CryptoPurchaseScreen.scss", "SCSS", 0, 0, 215, 0, 2, 26, 243
"u:\telegram-miniapp-game\src\components\screens\DiscoveryScreen.jsx", "JavaScript JSX", 0, 218, 0, 0, 14, 22, 254
"u:\telegram-miniapp-game\src\components\screens\DiscoveryScreen.scss", "SCSS", 0, 0, 123, 0, 28, 24, 175
"u:\telegram-miniapp-game\src\components\screens\EventDetailModal.jsx", "JavaScript JSX", 0, 71, 0, 0, 9, 10, 90
"u:\telegram-miniapp-game\src\components\screens\EventDetailModal.scss", "SCSS", 0, 0, 176, 0, 25, 30, 231
"u:\telegram-miniapp-game\src\components\screens\Forge.jsx", "JavaScript JSX", 0, 456, 0, 0, 21, 65, 542
"u:\telegram-miniapp-game\src\components\screens\Forge.scss", "SCSS", 0, 0, 384, 0, 51, 59, 494
"u:\telegram-miniapp-game\src\components\screens\GloryScreen.jsx", "JavaScript JSX", 0, 165, 0, 0, 16, 14, 195
"u:\telegram-miniapp-game\src\components\screens\GloryScreen.scss", "SCSS", 0, 0, 376, 0, 30, 48, 454
"u:\telegram-miniapp-game\src\components\screens\Inventory.jsx", "JavaScript JSX", 0, 534, 0, 0, 16, 35, 585
"u:\telegram-miniapp-game\src\components\screens\Inventory.scss", "SCSS", 0, 0, 1140, 0, 138, 154, 1432
